Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0.100747095,-0.071586123,-0.055588717,0.09759049,-0.055805485,0.098239935,0.02633274,-0.050816434,0.034252163,-0.000368393,-0.023467485,-0.013673048,-0.004589473,0.004489685,-0.066462411,0.09661632,-0.011774864,-0.028318886,-0.0387903,-0.0149431,0.035944716,-0.042420609,-0.025094467,-0.014592514,-0.058069465,-0.002046513,-0.01248492,0.09182855,-0.016972707,-0.017371693,-0.047191233,0.092621475,-0.031667099,0.09485678,0.09186631,0.098436275,-0.046329269,-0.031670072,-0.047034846,0.025208015,-0.006493031,0.09890448,-0.052358481,0.0916171,0.039153904,0.09737149,-0.010474915,-0.030339208
2,0.142784928,-0.032696779,-0.022924894,0.14214549,-0.020915277,0.140277768,0.03816374,-0.018466366,0.051023431,0.015769767,-0.001942486,0.010445817,0.012793776,0.018886693,-0.039195011,0.126822987,0.01341009,-0.004239325,-0.01012257,0.01415777,0.056282526,-0.012572056,-0.005363032,0.006814538,-0.032907717,0.020722682,0.014842502,0.132104217,0.001909793,0.007815932,-0.020259398,0.132141975,-0.009234257,0.132363447,0.117793643,0.134936108,-0.019385869,-0.00299137,-0.017113639,0.046562136,0.019516362,0.142956147,-0.030070486,0.126858433,0.056900902,0.141171157,0.015880783,-0.004506045
3,0.223336595,0.031113065,0.038183595,0.210110823,0.045188597,0.211767102,0.056791407,0.036790536,0.085666866,0.056576427,0.046768512,0.056716182,0.049056191,0.055686867,0.021551389,0.179684987,0.05797771,0.038719237,0.039689826,0.06138264,0.09524767,0.044966163,0.048854571,0.058428256,0.024222865,0.063881545,0.067593756,0.197552217,0.04722346,0.056162224,0.033606769,0.198596975,0.042398253,0.197811447,0.163103643,0.192832442,0.039778198,0.047587332,0.042510735,0.089815923,0.065663589,0.222500813,0.016886343,0.185761767,0.089499733,0.21266049,0.072694815,0.053547618
4,0.243977928,0.043571243,0.042402751,0.223200157,0.048865137,0.227877102,0.056791407,0.042709772,0.067951968,0.044521753,0.038590177,0.050124547,0.037491273,0.045163375,0.03799479,0.186229653,0.046159331,0.033347131,0.039157555,0.055745843,0.083364813,0.049139048,0.045679173,0.051138974,0.029498447,0.053675074,0.061945344,0.206110883,0.045716459,0.051143183,0.035114603,0.208162642,0.040162096,0.207880447,0.16511731,0.194846442,0.038528265,0.049835035,0.044238775,0.08322871,0.054921148,0.243142147,0.010477838,0.1938171,0.075277898,0.23430849,0.069598847,0.056725614
5,0.251025928,0.029346753,0.02799424,0.21363449,0.036431345,0.226870102,0.05477774,0.034029007,0.038657736,0.02491508,0.021853175,0.034470912,0.022402355,0.02859855,0.040341523,0.17565732,0.023264951,0.014382026,0.023521951,0.037019379,0.058895957,0.038208267,0.032938443,0.035794359,0.023194695,0.03491027,0.040186599,0.196041883,0.035651126,0.034544808,0.023533104,0.199603975,0.021311938,0.206370113,0.157565643,0.177729442,0.023685331,0.033455404,0.031366815,0.061538164,0.034109708,0.247169813,-0.012041,0.189789433,0.048469729,0.239343157,0.045861878,0.048324277
6,0.262604928,0.027708597,0.023151397,0.218668823,0.030542552,0.229387435,0.051757073,0.025851576,0.017418838,0.018398073,0.013171507,0.02888661,0.014865104,0.015558058,0.04419859,0.162567653,0.009935905,0.006996254,0.017451681,0.027354916,0.040468434,0.02778082,0.020197712,0.01440841,0.017394276,0.023193799,0.02698652,0.19553855,0.028606126,0.027008434,0.016482605,0.193058975,0.006993114,0.211404447,0.159579643,0.173198442,0.014380398,0.022110106,0.023529522,0.041861618,0.014808935,0.24817648,-0.034056171,0.198851433,0.03173056,0.252432823,0.020614577,0.038412607
7,0.271163262,0.014994775,0.009749886,0.21011049,0.019115426,0.229891102,0.049743407,0.009115478,-0.01137206,0.0023154,0.007007172,0.018771308,0.002293519,-0.003524101,0.02942799,0.149981653,-0.010441141,-0.007437852,0.002319744,0.009131785,0.016502911,0.012822372,0.000912314,-0.007481205,0.011090524,0.006442661,0.006234774,0.192014217,0.019044125,0.017961726,0.008425439,0.179969308,-0.01185671,0.207880113,0.154041643,0.161619108,0.002558465,0.008751141,0.015692228,0.020171072,-0.003988505,0.245155813,-0.031906009,0.1973411,0.004419058,0.25293649,-0.009667058,0.02195627
8,0.298852928,0.017384285,0.010445042,0.212627823,0.012722967,0.237946102,0.049743407,0.00697938,-0.020024959,0.001336393,0.000842837,0.009662673,-0.002726399,-0.005992593,0.023216057,0.148974987,-0.012190854,-0.006768624,0.001787473,0.004501655,0.001599388,0.007933258,-0.000249083,-0.016784487,0.016366106,0.003787857,-0.000420638,0.19906255,0.014516459,0.010425684,0.00137494,0.177955642,-0.013085867,0.21442478,0.155551977,0.164136442,-0.000201469,-0.002090823,0.008861935,0.002004526,-0.012213278,0.249686813,-5.25134E-05,0.2074101,-0.009802778,0.264012157,-0.01880436,0.0200996
9,0.305901262,0.00316013,-0.005977135,0.19853149,-0.004242159,0.233415102,0.049240073,-0.002708384,-0.038243524,-0.018269947,-0.015390831,-0.008004628,-0.013284317,-0.016516085,0.008949124,0.14243032,-0.0235059,-0.01113373,-0.009317131,-0.009693809,-0.020855468,-0.001990523,-0.011983148,-0.030618768,0.009055354,-0.008935947,-0.015634716,0.192014217,0.001430125,-0.00415869,-0.008192893,0.162348975,-0.025894358,0.207376447,0.143972643,0.158095108,-0.010009735,-0.010919121,-0.001492358,-0.017672353,-0.024969385,0.247169813,0.022235315,0.201368767,-0.035100613,0.261494823,-0.030962328,0.005153596
10,0.317983928,0.002025307,-0.004778646,0.200545157,-0.010634619,0.241470102,0.049743407,-0.000816816,-0.039344755,-0.020255954,-0.0170245,-0.02013393,-0.016794235,-0.018984244,0.001226857,0.144947653,-0.020220947,-0.005933168,-0.007332401,-0.012813606,-0.037268991,-0.006879637,-0.008613878,-0.02632905,0.005772269,-0.010583752,-0.018766129,0.185972883,-0.007125208,-0.012701732,-0.013229725,0.157817975,-0.026116848,0.210397113,0.13994531,0.163129442,-0.005218002,-0.015216085,-0.010336651,-0.031811232,-0.029166825,0.251700813,0.028916477,0.204389433,-0.045294782,0.271563823,-0.029023963,0.004807259
11,0.317983928,-0.009681849,-0.01163549,0.196014157,-0.017530411,0.244994435,0.04672274,-0.010001247,-0.054038987,-0.030800627,-0.020168501,-0.029745898,-0.02131082,-0.025983403,-0.009012743,0.14595432,-0.027508326,-0.012312274,-0.017430005,-0.020967736,-0.056199847,-0.018313751,-0.018333943,-0.028080665,-0.004055816,-0.021796889,-0.028442207,0.17892455,-0.012659875,-0.015203773,-0.016252891,0.149762975,-0.030367006,0.208383447,0.13893831,0.170177442,-0.002439935,-0.014478716,-0.015656611,-0.043432778,-0.035378265,0.254217813,0.01545964,0.2038861,-0.062033618,0.274081157,-0.034133598,-0.007118078
12,0.331073595,-0.012327005,-0.007919667,0.200545157,-0.017377871,0.256573768,0.047226073,-0.009620012,-0.051112552,-0.028255634,-0.016263836,-0.0338202,-0.019786072,-0.026438228,-0.010693676,0.156022987,-0.026237039,-0.017181046,-0.017458609,-0.0225772,-0.064055037,-0.020182199,-0.017985007,-0.022280614,-0.005324901,-0.023444693,-0.032580286,0.179427883,-0.018194209,-0.016698814,-0.01776539,0.155300642,-0.02505183,0.213921447,0.14246231,0.182260108,0.000841465,-0.016258348,-0.019466238,-0.050523324,-0.035548039,0.262272813,0.019120135,0.211437767,-0.06366912,0.285157157,-0.034208566,-0.008974748
13,0.348190928,-0.010440828,-0.008231844,0.204069157,-0.015211663,0.271173768,0.04772974,-0.008232109,-0.047179117,-0.025206974,-0.013366171,-0.031349501,-0.016750656,-0.021858387,-0.012877942,0.168105653,-0.023455752,-0.016511818,-0.01597688,-0.023179663,-0.062848227,-0.018023313,-0.017636071,-0.019501229,-0.001559653,-0.027609831,-0.033697698,0.190000217,-0.018190876,-0.012655855,-0.00870589,0.162852308,-0.013191654,0.226004113,0.15253131,0.203404775,-0.000408135,-0.015017645,-0.015220531,-0.052076204,-0.035717812,0.27536248,0.024794297,0.224527433,-0.064801622,0.301770823,-0.031766535,-0.014858752
14,0.366818595,-0.00503065,-0.005523022,0.21363449,-0.009018123,0.285773768,0.049240073,-0.005333874,-0.037708015,-0.019137648,-0.004427173,-0.025858136,-0.012205241,-0.018285546,-0.009524542,0.183712653,-0.018157132,-0.010807923,-0.008957484,-0.02529246,-0.05962775,-0.012340427,-0.011749468,-0.016721844,0.000695262,-0.025733635,-0.034311777,0.200069217,-0.021711543,-0.015157563,0.003374611,0.175438308,-0.003848478,0.236576447,0.158572977,0.221025442,-0.000147735,-0.01579061,-0.012485491,-0.05111175,-0.033873919,0.287445147,0.029461793,0.237616767,-0.057878791,0.31939149,-0.02680717,-0.020239422
15,0.385949595,0.002393194,-0.000297199,0.22269649,-0.003327915,0.303394435,0.052764073,0.000585028,-0.032767914,-0.017095988,0.004511492,-0.018352771,-0.005142493,-0.012698705,-0.006674475,0.200829987,-0.010844845,-0.000573362,-0.001434754,-0.02438459,-0.052883273,-0.006657542,-0.007372866,-0.009411459,0.004963843,-0.024360773,-0.028884522,0.214165883,-0.018687543,-0.014135271,0.013441112,0.189031642,0.007508365,0.25167978,0.170655643,0.241163442,-0.001901002,-0.014549908,-0.004716117,-0.048133629,-0.031023359,0.30154148,0.031611955,0.253726767,-0.053976627,0.340536157,-0.020841138,-0.026123426
16,0.401556262,0.003272371,0.00543229,0.231255157,-0.002168708,0.312456435,0.055281073,0.003483263,-0.030848478,-0.019585328,0.00589849,-0.01286174,-9.37441E-05,-0.01315353,-0.004327742,0.217946987,-0.006049557,0.004123532,0.002060642,-0.023980054,-0.051676462,-0.000974656,-0.004003263,-0.007135408,0.007218758,-0.022484244,-0.025974601,0.22171755,-0.022711876,-0.018650979,0.014445613,0.206652308,0.012320208,0.260238447,0.175186643,0.258280775,-0.003654269,-0.016329539,-0.006008744,-0.045658842,-0.025151799,0.310100147,0.027217117,0.2642991,-0.045039796,0.35362549,-0.017392106,-0.030497096
17,0.413135262,0.002641215,0.00109278,0.236793157,-0.0045335,0.321518435,0.055784407,-0.000666501,-0.020370377,-0.024088668,0.001747489,-0.013411708,-0.001086329,-0.014111689,-0.007015342,0.228015987,-0.00679227,0.00479276,-0.000988962,-0.027603184,-0.048959319,-0.003850103,-0.006171661,-0.005866356,0.00443934,-0.025642381,-0.020547347,0.22624855,-0.024218877,-0.020146021,0.00940878,0.217728308,0.015621717,0.268293447,0.181227977,0.275398108,-0.008427869,-0.015088503,-0.005287371,-0.048218388,-0.025824906,0.318658813,0.022822279,0.2708441,-0.038620298,0.36621149,-0.019481075,-0.033360433
18,0.432769595,0.003017059,-0.001736398,0.246862157,-0.003877626,0.331587102,0.054274073,-0.002299266,-0.011905942,-0.019026675,-0.000389513,-0.011444676,-0.00308558,-0.013559514,-0.006178941,0.23959532,-0.004514317,0.005965655,-0.001521233,-0.027702315,-0.043724842,-0.004711884,-0.004312392,-0.001073304,0.003169921,-0.025779519,-0.016126759,0.232793217,-0.02925021,-0.019627062,0.009909948,0.238369308,0.021440893,0.276852113,0.186765977,0.296039442,-0.004139469,-0.009316467,-0.00506933,-0.046750267,-0.018443012,0.329734813,0.019434441,0.281416767,-0.0286768,0.380307823,-0.017039043,-0.038741104
19,0.459452262,0.00893057,-0.003055242,0.264986157,0.000805914,0.345180102,0.051253407,-0.001414697,8.24932E-05,-0.001378348,-9.18121E-06,-0.010484311,-0.003071165,-0.008476006,-0.003328875,0.251174653,-0.00072603,0.011669216,-0.002053503,-0.024780778,-0.033959365,-0.006580332,-0.001446123,0.005733747,0.002404169,-0.02138599,-0.008182171,0.246386217,-0.023708877,-0.01759777,0.008397449,0.256493308,0.029273736,0.289438447,0.199351977,0.321211775,-0.001361402,0.000986235,-0.000823957,-0.044275146,-0.011061452,0.345845147,0.01906727,0.294506433,-0.017222969,0.396418157,-0.012583011,-0.038080441
20,0.474555928,-0.001266253,-0.010415419,0.271531157,-0.005586545,0.349207435,0.047729407,-0.006571462,-0.009073738,0.002173645,-0.00869085,-0.015061946,-0.009601416,-0.013964832,-0.007527141,0.25872632,-0.003986076,0.00629711,-0.008123774,-0.028907242,-0.037283554,-0.012980113,-0.00713852,-4.55347E-05,-0.003899583,-0.026557794,-0.009802916,0.250917217,-0.02874021,-0.024127145,0.000339949,0.273106975,0.024520245,0.293466113,0.201365643,0.338328775,-0.004121669,-0.00180073,-0.00060625,-0.044317692,-0.005693559,0.354403813,0.009134765,0.303568433,-0.012817471,0.405480157,-0.013664979,-0.046985444
21,0.481604262,-0.012973409,-0.019285929,0.276062157,-0.014999671,0.351724768,0.04571574,-0.019279893,-0.01822997,-0.002329362,-0.016365518,-0.021653248,-0.019152335,-0.019453657,-0.015753074,0.26577432,-0.013790789,-0.003605995,-0.014193711,-0.035047372,-0.040104077,-0.020889894,-0.017865584,-0.00884515,-0.011210001,-0.032233265,-0.012430662,0.251924217,-0.028736544,-0.034180853,-0.008221216,0.281665642,0.013725421,0.29648678,0.204889643,0.352425108,-0.012419602,-0.009622027,-0.00240221,-0.045367238,-0.004352999,0.358934813,-0.003315073,0.307092433,-0.00841164,0.411018157,-0.017767614,-0.052869781
22,0.482107928,-0.032735565,-0.03168044,0.27505549,-0.027433797,0.350717768,0.04672274,-0.034001991,-0.027386202,-0.017405035,-0.023033519,-0.032272216,-0.030717253,-0.028970483,-0.026999674,0.273325987,-0.021078502,-0.016529767,-0.019760315,-0.041691169,-0.049973267,-0.028800008,-0.030606315,-0.018651765,-0.021038086,-0.039922403,-0.019086074,0.247393217,-0.036788211,-0.04423456,-0.015775382,0.292741642,-0.000593403,0.29547978,0.201868977,0.366018108,-0.021221202,-0.018953325,-0.009735837,-0.046416784,-0.003515773,0.361451813,-0.020295911,0.310616433,-0.008033476,0.41705949,-0.025897916,-0.058250452
23,0.512314595,-0.015746054,-0.013364951,0.303751823,-0.01620559,0.376897102,0.051757073,-0.026069089,-0.0143911,-0.007811709,-0.006039521,-0.020739518,-0.020633837,-0.015328641,-0.018611607,0.30202232,-0.009234881,-0.006798539,-0.008713252,-0.027693633,-0.031649123,-0.020096122,-0.020188379,-0.005299713,-0.013245505,-0.024452873,-0.009127819,0.263000217,-0.025708878,-0.035156935,-0.006715548,0.318417308,0.00723944,0.312597113,0.21797931,0.397231775,-0.012401802,-0.009153623,-0.004986797,-0.030348997,0.018466121,0.379575813,-0.018649082,0.327733433,0.004930689,0.438707823,-0.008855884,-0.048024122
24,0.529431595,-0.014363544,-0.008642461,0.321875823,-0.018067049,0.390993768,0.05024674,-0.023674187,-0.012974998,-0.007784049,-0.008680189,-0.02028282,-0.023136756,-0.0117558,-0.016768207,0.31662232,-0.000411927,-0.004115645,-0.009749189,-0.018227096,-0.02792498,-0.02498557,-0.01581211,-0.006044662,-0.018038923,-0.019052344,-0.011755898,0.271558883,-0.027215878,-0.03262431,-0.010241714,0.336541308,0.003996283,0.32014878,0.224020643,0.414852442,-0.007106735,-0.006905921,-0.008796756,-0.023342876,0.032896014,0.389644813,-0.025057586,0.337298767,0.00631552,0.451293823,-0.005406853,-0.040315126
25,0.543527928,-0.005429366,-0.001402639,0.33848949,-0.018921508,0.407104102,0.051757073,-0.022789618,-0.009041897,-0.009770056,-0.010817191,-0.016301788,-0.02211534,-0.007679292,-0.009386807,0.33575332,0.006900693,-0.002439417,-0.000212793,-0.011781227,-0.014635169,-0.024337017,-0.013449508,-0.005278944,-0.015784008,-0.012141482,-0.009852644,0.28213155,-0.018150545,-0.030595018,-0.014271547,0.348623975,0.001759792,0.33273478,0.235599977,0.428948775,-0.001811669,-0.006672219,-0.010592716,-0.014323089,0.047829574,0.400720813,-0.028445424,0.348374433,0.008204018,0.46085949,0.009117846,-0.034620129
26,0.547051928,-0.017639856,-0.009769483,0.34402749,-0.027831301,0.408111102,0.05226074,-0.030967049,-0.016687795,-0.021321729,-0.028057526,-0.022389756,-0.030156258,-0.015685451,-0.013081407,0.342801653,0.01068898,-0.007811522,0.002779269,-0.010370024,-0.019469692,-0.031240132,-0.020652572,-0.016092559,-0.023094427,-0.018823953,-0.019025389,0.28213155,-0.021167878,-0.034103726,-0.024343046,0.352147975,-0.014573032,0.335755447,0.237613643,0.435493442,-0.008095935,-0.013990183,-0.022457676,-0.017385968,0.054204467,0.401224147,-0.040391929,0.356429767,0.000527182,0.462873157,0.005518544,-0.028925133
27,0.562658928,-0.016760678,-0.012094993,0.357117157,-0.02616876,0.419186768,0.055281407,-0.03008248,-0.011747693,-0.024314403,-0.033718528,-0.019919058,-0.026114177,-0.01563661,-0.011741673,0.353877653,0.026056267,0.002926706,0.017853999,-0.001407154,-0.000642549,-0.028577579,-0.023324303,-0.013312841,-0.021343179,-0.012416757,-0.015611801,0.28666255,-0.012606212,-0.033584767,-0.026359212,0.361209975,-0.020836856,0.344314113,0.24516531,0.454120775,-0.010352535,-0.019294147,-0.029791303,-0.013400848,0.075682694,0.412299813,-0.043779767,0.369519433,-0.000604987,0.469418157,0.020546909,-0.014167803
28,0.589341595,-0.010847167,-0.00485517,0.38228949,-0.013933553,0.441841768,0.055281407,-0.016611578,-0.000765925,-0.011196743,-0.028807196,-0.00838636,-0.018548095,-0.003505102,-0.005367606,0.37401532,0.056527221,0.033299267,0.045514728,0.024169716,0.024226262,-0.015342694,-0.0129067,0.000542211,-0.016067597,-0.006512895,-0.013205213,0.29924855,-0.000520212,-0.019472808,-0.021830711,0.380844308,-0.022569347,0.356900447,0.25775131,0.474762108,-0.005560802,-0.016542779,-0.027056263,-0.00186406,0.11629192,0.43243748,-0.032567605,0.386133433,0.000779844,0.488549157,0.041616607,0.022741193
29,0.612500262,0.004128343,0.005405319,0.410482157,0.000818654,0.467517435,0.05477774,0.009948657,0.021794843,0.010982917,-0.017351198,0.009691005,-0.003933679,0.014164406,0.00553746,0.394152987,0.108646508,0.084313161,0.101368458,0.065353252,0.062688072,0.007960859,0.007076569,0.028493929,-0.002737016,0.012480634,-0.002743292,0.31636555,0.026165788,-0.001333516,-0.007232877,0.401485642,-0.018260837,0.373514113,0.27788931,0.492886442,0.004768931,-0.008757076,-0.018279889,0.01923806,0.17653548,0.467678813,-0.007259109,0.405264433,0.010220009,0.507176823,0.083327306,0.088849856
30,0.639182595,0.028165854,0.031272475,0.44018549,0.028157195,0.499234435,0.060819073,0.046578226,0.066003612,0.048265577,0.010215134,0.033809704,0.024273736,0.038378914,0.017952861,0.433421653,0.191476128,0.174092389,0.212097854,0.134226455,0.105177549,0.053919411,0.044177171,0.078093647,0.025193566,0.032481163,0.017283962,0.338516883,0.066444787,0.035937109,0.021964624,0.422126975,-0.011938661,0.395162113,0.297523977,0.508996775,0.021139998,0.012118293,0.001572151,0.053429848,0.264972374,0.515506147,0.040201053,0.425402433,0.023687506,0.528824823,0.154238004,0.216378852
31,0.652272262,0.047672365,0.044049964,0.461330157,0.043412736,0.523400102,0.065350073,0.104352128,0.132364047,0.100148237,0.038284799,0.059438735,0.054998484,0.048496755,0.027347927,0.457083653,0.326663749,0.323781617,0.40287525,0.241361325,0.173342693,0.120015964,0.102422441,0.164445032,0.063696481,0.067584693,0.04989755,0.35412355,0.126358121,0.077235068,0.066769125,0.433706308,-0.007630152,0.41177578,0.31262731,0.516045108,0.041035065,0.036517661,0.031493191,0.094166635,0.3846226,0.57340248,0.100247548,0.4410091,0.031617337,0.54090749,0.272472702,0.429997182
32,0.666368595,0.077247875,0.063372454,0.481468157,0.06773061,0.546055102,0.06585374,0.19686403,0.260648482,0.20438923,0.105120131,0.094129767,0.105861233,0.062138597,0.042784328,0.48275932,0.537368369,0.580704845,0.722534646,0.439620195,0.306955837,0.248539849,0.214536376,0.338899417,0.139454396,0.112757555,0.113724472,0.368220217,0.23107812,0.155284693,0.153359292,0.443271975,0.004733691,0.428389447,0.323199643,0.522086442,0.078550798,0.08004803,0.096152231,0.179206756,0.54656216,0.653953813,0.185969711,0.454098433,0.044581502,0.552990157,0.493410401,0.829387178
33,0.675430928,0.117395719,0.089743276,0.51268149,0.094565484,0.563675768,0.06484674,0.384023599,0.503718583,0.403781557,0.233879129,0.160034799,0.207571648,0.076283771,0.070807061,0.503903987,0.860844656,0.971041406,1.208834709,0.805526398,0.562906314,0.500911402,0.442442645,0.665898135,0.291232977,0.204247084,0.242999726,0.37979955,0.432963454,0.293244319,0.332080127,0.453340975,0.0337112,0.437955113,0.332764977,0.530141775,0.152314531,0.163350733,0.223238605,0.34832221,0.751798054,0.76068448,0.296360873,0.4697051,0.07567,0.56003849,0.880988433,1.544437841
34,0.686003262,0.187246897,0.141286433,0.549433157,0.145566025,0.583310102,0.063336407,0.719196168,0.948670685,0.778373217,0.494037794,0.287360164,0.41148173,0.106035946,0.113932795,0.537634987,1.29860361,1.509390967,1.874865105,1.447824601,1.028290124,0.963219954,0.868203248,1.252674853,0.583472892,0.372260613,0.491591314,0.39087555,0.801489453,0.565623944,0.670896961,0.464416642,0.09893671,0.452051447,0.342330643,0.541217442,0.284981598,0.330728768,0.478703645,0.686595664,0.996302947,0.885035813,0.437965701,0.480780767,0.145020164,0.56910049,1.494110464,2.746824171
35,0.689023928,0.285794407,0.212967255,0.592226157,0.212173232,0.600930768,0.067867407,1.286960736,1.685621453,1.41626721,0.960105459,0.523933195,0.788073479,0.143339787,0.177699861,0.58093132,1.84460323,2.180650529,2.713577168,2.452603804,1.796245268,1.73967884,1.587976517,2.204449905,1.096725474,0.684259476,0.944582235,0.40245455,1.444896786,1.040388903,1.266471128,0.470457975,0.228603219,0.460610113,0.351895977,0.549775775,0.506254998,0.64662347,0.950650351,1.298240118,1.274035507,1.023986813,0.60222553,0.4933671,0.276797662,0.576148823,2.359962496,4.563414501
36,0.691540928,0.431665918,0.318379078,0.644584823,0.318552773,0.628620435,0.069881407,2.152765305,2.798142888,2.41714587,1.764489124,0.94376056,1.440050561,0.202795295,0.278218262,0.639834653,2.481223184,2.97525409,3.691743897,3.880781007,2.939267745,2.907818726,2.69187912,3.61033329,1.910535055,1.221299005,1.72430949,0.44524755,2.46186112,1.831821195,2.228050629,0.477002642,0.489669395,0.478230447,0.36146131,0.556823775,0.851879398,1.216758173,1.771988725,2.333282905,1.583485067,1.18055848,0.790147026,0.5034361,0.536953826,0.587728157,3.463441194,7.03700183
37,0.696071928,0.621337429,0.458024901,0.715067157,0.46973898,0.662854768,0.069378073,3.348327207,4.291772657,3.81574653,3.009891122,1.636455592,2.475149976,0.284905803,0.425557329,0.716861987,3.189332471,3.862995318,4.777144626,5.68805321,4.466922888,4.495329278,4.204076389,5.447166675,3.062660637,2.083564534,2.944552078,0.473943883,3.900209786,3.001845153,3.620076463,0.483547308,0.970741238,0.485782113,0.372536977,0.561354775,1.354075798,2.153401541,3.064552432,3.914060692,1.923141293,1.35575748,0.992668521,0.516525767,1.019633324,0.59729349,4.761753226,10.08351083
38,0.704127262,0.862863939,0.638450057,0.801659823,0.674793854,0.711689102,0.07038474,4.846963776,6.102573425,5.584883523,4.748167121,2.67300429,3.961840724,0.397222977,0.632303062,0.827116653,3.958358758,4.829777212,5.940579689,7.79437208,6.328866032,6.456396831,6.070699658,7.617784726,4.529943218,3.335497396,4.671261332,0.50163355,5.729232453,4.580667445,5.441541964,0.494119642,1.809259747,0.50138878,0.387136977,0.569913442,2.031471198,3.549691244,4.878686138,6.087898146,2.28545252,1.550087813,1.21482435,0.525084433,1.871338489,0.607362157,6.203547258,13.55341816
39,0.713692928,1.13610745,0.842033546,0.898824823,0.926165728,0.764047435,0.067364073,6.546475345,8.09914586,7.612791849,6.892723786,4.047868655,5.842225806,0.537733152,0.890400462,0.96455732,4.759605712,5.844386773,7.152345419,10.06632495,8.432966842,8.689828383,8.140714927,9.943464111,6.1991078,4.964511258,6.84905792,0.50062655,7.825584786,6.494784737,7.590247131,0.502174975,3.129575923,0.512968113,0.39972331,0.575954775,2.886583265,5.391530613,7.146424845,8.751588267,2.664880746,1.751466147,1.450070179,0.5381741,3.23857232,0.61793449,7.737975289,17.26044815
40,0.719986095,1.278958294,0.945683369,0.94866599,1.055703602,0.792240435,0.06937774,7.431914747,9.123564128,8.667790842,8.034667951,4.794180687,6.858194221,0.610529993,1.024901696,1.04208782,5.166150833,6.357060501,7.762493148,11.23170332,9.519603319,9.847647435,9.20685903,11.1313555,7.068044715,5.844397621,8.017445508,0.50792655,8.922093285,7.509999196,8.720229299,0.506454475,3.869167266,0.52379228,0.40752681,0.580989275,3.337931331,6.392615315,8.354409719,10.16849472,2.855013306,1.85844848,1.565243841,0.5447191,4.007208817,0.62296899,8.517737821,19.15406565